"event_id","category_id"
1,1
3,2
4,3
4,4
5,5
6,4
6,6
6,7
6,8
6,9
6,10
6,12
7,13
7,14
9,15
9,16
9,17
9,18
9,19
9,20
10,7
10,21
11,8
11,24
12,25
13,26
13,27
13,28
13,29
14,30
14,31
14,32
15,26
15,27
15,29
16,13
16,14
17,1
17,27
17,38
18,6
18,21
18,27
18,38
18,45
18,46
20,1
20,30
20,49
22,15
22,45
22,46
22,50
22,51
22,52
24,13
24,14
25,7
25,13
25,21
25,45
26,7
26,21
28,6
28,7
28,21
29,8
29,13
29,14
29,69
29,70
30,13
30,14
31,26
31,27
31,29
32,1
32,15
32,79
32,80
32,81
33,1
33,83
33,84
34,13
34,14
37,24
37,88
40,52
40,90
41,13
41,14
42,8
42,13
42,14
43,6
43,51
43,69
46,1
46,30
46,49
47,102
50,4
50,6
50,7
50,10
50,107
51,6
51,7
51,110
52,5
54,24
54,113
55,21
58,7
58,21
60,6
60,7
61,5
62,5
63,24
63,113
64,123
66,7
66,21
67,7
67,21
68,30
68,129
68,130
69,24
69,113
69,129
69,134
72,7
72,21
74,13
74,14
75,123
76,7
76,21
78,13
78,14
81,7
81,21
82,13
82,14
83,1
83,30
83,32
83,38
83,129
83,152
83,153
84,30
84,38
85,13
85,14
86,159
89,8
89,24
91,162
91,163
91,164
91,165
91,166
92,5
92,168
92,169
92,170
94,13
94,14
94,173
95,174
95,175
96,175
96,176
98,1
98,15
98,27
98,50
98,130
99,24
99,88
100,1
100,15
100,30
102,188
104,80
104,190
105,13
105,14
106,6
106,8
106,69
106,196
107,13
107,14
108,13
108,14
110,162
110,163
110,164
110,201
110,205
111,13
111,14
112,8
112,209
112,210
112,211
112,212
112,213
112,214
112,215
112,216
112,217
112,218
114,8
114,21
114,69
114,79
115,13
115,14
116,13
116,14
118,24
118,113
118,129
118,134
119,30
119,130
120,13
120,14
121,14
122,24
122,88
123,8
123,46
123,240
124,13
124,14
125,21
125,30
125,45
125,188
125,246
125,248
126,15
126,30
127,188
128,1
128,30
128,80
130,13
130,14
131,13
131,14
133,259
134,14
135,13
135,14
138,13
138,14
139,7
139,21
140,14
142,2
143,269
143,270
143,271
144,13
144,14
145,8
145,24
146,25
147,277
147,278
148,1
148,30
149,13
149,14
150,283
153,284
153,285
155,13
155,14
156,7
156,13
156,21
156,45
159,292
159,293
162,7
162,21
163,13
163,14
164,1
164,83
164,84
165,13
165,14
166,269
166,270
166,271
167,24
167,88
168,13
