"event_id","name","start_time","end_time","timezone","location","description","event_type","link","latitude","longitude","liked_count","viewed_count","trending_score"
1,CANCELED: National Labs Visit Day,"2025-05-08 08:00:00",,EDT,Engineering Research Center,"This event, sponsored by the Office of the Vice President of Research, will showcase current collaborations between faculty at Brown with several National Labs and explore opportunities for building on these relationships.",,https://events.brown.edu/event/301256-national-labs-visit-day,41.8264,-71.3985,0,0,0.0
2,Building Bridges: Topics in Arabic Literature in Translation,"2025-05-08 09:00:00",,EDT,,"The New University in Exile Consortium is delighted to offer a range of free and open Spring 2025 co-led online seminars. 
Taught by two displaced, endangered scholars, these seminars are an important way for Consortium scholars to reconnect with students, the classroom, and the academic world more generally. While safe from threats of violence and retribution, many of our scholars remain in a second exile on the campuses of their host universities.
Building Bridges: Topics in Arabic Literature in Translation
Every Thursday, March 6 – May 8, 2025 | 9:00 -10:30 AM ET
This free 10-week course will delve into the profound role of translated Arabic literature in fostering a connection between Arab and Western cultures, aiming to transcend stereotypes and Orientalism. Over ten weeks, the seminar will examine the evolution of the translation movement for Arabic literary texts, probing the barriers that hinder the rightful recognition of Arabic literature in the broader literary canon. The curriculum is designed to assess how translated Arabic literature can contribute to enriching Arab cultural identity, countering historical stereotypes rooted in the Western consciousness.
Emphasizing the bridging of ages and cultures, the course explores seminal works like The Arabian Nights and Kalila Wa Dimnah while also delving into modern themes such as the intersection of Arabic literature and ecofeminism, and contemporary Arabic exile literature. Through engaging debates and readings, students are invited to cultivate a nuanced understanding of the challenges, controversies, and transformative potential inherent in the translation and reception of Arabic literary texts, ultimately fostering a meaningful connection between Arab and Western societies through the powerful medium of literature.",Online only,https://events.brown.edu/event/306228-building-bridges-topics-in-arabic-literatur,,,0,0,0.0
3,Management Essentials April-May Series (In Person),"2025-05-08 09:00:00","2025-05-08 12:00:00",EDT,South Street Landing,"Management Essentials is a learning opportunity for aspiring managers here at Brown University. This program aims to equip managers with the essential knowledge and skills necessary to excel in leadership roles. It will also review skills and resources that are required to cultivate engaged and productive teams in today’s work environment. It was developed as a direct result of the efforts put forth by the Future of Work Initiative: Training and Development Team.
The Management Essentials Program is carefully crafted to provide a strong foundation in crucial information and skills vital for effective leadership and within the context of the employee lifecycle, focusing on key HR-related policies and procedures every manager needs to know.",,https://events.brown.edu/event/301239-management-essentials-april-may-series-in-p,41.8183,-71.4061,0,0,0.0
4,Slavery & Legacy Community Walking Tour,"2025-05-08 10:00:00",,EDT,Begins across the street from the Ruth J. Simmons Center (94 Waterman Street),"In the eighteenth century, racial slavery permeated every aspect of social and economic life in Rhode Island. The Ruth J. Simmons Center for the Study of Slavery and Justice’s Slavery and Legacy Walking Tour invites guests to learn about the history and legacy of slavery as it pertains to Brown University and the state of Rhode Island. Major stops on this hour-long walking tour include the Ruth J. Simmons Quadrangle, Van Wickle Gates, University Hall (Nathanael Green Plaque), and the Slavery Memorial (Manning Hall).
The Community Tours are intended for individuals, not groups, who are interested in taking the Slavery & Legacy Walking Tour. We offer one Community Tour per month September–November and March–May, on the 2nd Thursday at 10 a.m.
Please sign up for a Community Tour using the form at the bottom of this page. If you would like to see other date options currently open for registration, please visit our Slavery & Legacy Walking Tour events page.
The Tour will begin across the street from the Ruth J. Simmons Center (94 Waterman Street) in the red area marked in the image below. There will also be a walkway sign in that area to indicate where your tour guide will meet you.
Private Tour Requests",,https://events.brown.edu/event/292436-slavery-legacy-community-walking-tour,,,0,0,0.0
5,Brown University Softball at Princeton,"2025-05-08 10:00:00","2025-05-08 12:00:00",EDT,"Princeton, N.J.","Brown University Softball at Princeton
Streaming Video: https://www.espn.com/watch/player/_/id/63274189-6f3b-475c-8af6-ff708b490c99
https://brownbears.com/calendar.aspx?game_id=17142&sport_id=21",,https://events.brown.edu/event/310947-brown-university-softball-at-princeton,,,0,0,0.0
6,Complete Disorder: Resistance and Refusal to Colonial Legacy in the Arts and Humanities,"2025-05-08 10:00:00","2025-05-08 18:00:00",EDT,Virtual,"“Decolonization, which sets out to change the order of the world, is, obviously, a program of complete disorder.” - Fanon
In her book Programme of Absolute Disorder, Francois Vèrges speaks directly to practitioners within the realms of arts and culture to call for visionary, imaginative thinking in order to imagine arts, culture, heritage, and cultural spaces outside of the dominant world order created by colonial legacy. Rooted in theory from the Black radical tradition, she advocates for institutions by and for those who have been historically erased and exploited to maintain the apparatus of white western world order.
This conference asks: is it possible to transform cultural and academic institutions from sites of colonial harm into spaces of justice, care, and community? Bringing together museum professionals, scholars, artists, and community leaders, we explore how museums, archives, and institutions alike are confronting their colonial legacies towards reparative futures.
Through critical conversations and activities, sessions will examine challenges and possibilities for repatriation, community-driven exhibitions, archival intervention, and reimagining history telling. Topics include decolonization efforts across indigenous communities and university campuses, alternative practices that challenge the colonial violence of the archive, the nuances of representing Japanese American wartime incarceration, the role of Black artistic production and curatorial methods as a catalyst for political action during global crisis, and the complexities of aesthetics from a Black feminist lens to explore the possibilities of creating equity in arts institutions.
Through these topical sessions, attendees will explore a variety of ways that decolonial theory can be practiced from grass roots activism to hegemonic disruption– moving beyond symbolic gestures towards transformative, community-centered change.
A virtual conference organized as part of the Simmons Center’s MA in Public Humanities course Decolonization of Museums: Nations, Museums, Anti Colonialism and the Contemporary Moment.
Learn More about the Conference Sessions, Speakers and Moderators here.",Online only,https://events.brown.edu/event/309845-complete-disorder-resistance-and-refusal-to,,,0,0,0.0
7,"Adoration, Confession and Daily Mass - Brown RISD Catholic Community","2025-05-08 10:45:00",,EDT,Brown-RISD Catholic Center,"Please join us for adoration, confession and daily mass every Thursday at the Brown-RISD Catholic Center, located at 51 Prospect Street.
  10:45 AM to 11:45 AM - Adoration and Confession
12:05 PM - Mass",,https://events.brown.edu/event/308196-adoration-confession-and-daily-mass-brown-risd,,,0,0,0.0
8,Humanize Your Remote-Accessible or Online Course with Multimedia,"2025-05-08 12:00:00",,EDT,,"Are you looking for a personalized way to welcome students into your virtual classroom so that they feel connected to you and to each other? Do you want to level up the quality and professionalism of your self-produced video content? Join media specialists from Digital Learning & Design to discover best practices for producing effective media in your remote-accessible or online course. We will start with an overview of video presentation tips, including simple tricks to get the best visual and audio recording with your existing technology, and we’ll cover ways to keep learners engaged before, during, and after watching the video. Then we’ll share best practices for ensuring media is accessible to a multitude of learners. Please register.

Learning Outcomes:

Learn about how course introductions and/or micro-lectures can enhance the learning experience for students
Gather tips for how to improve your self-recorded videos for use in online or remote-accessible courses and keep learners engaged
Become familiar with ways to ensure your media is evergreen (reusable over time) and accessible to more learners

We will spend any remaining session time on Q&A.

Before the session, we recommend reviewing our guides for creating course videos and think about any related questions about self-recording and/or educational media at Brown.",Online only,https://events.brown.edu/event/306783-humanize-your-remote-accessible-or-online-c,,,0,0,0.0
9,Healthcare Leadership | Virtual Information Session: It’s Not Too Late! Program ROI & Application Tips,"2025-05-08 12:00:00",,EDT,,"Please join us for our upcoming Virtual Information Session. Attendees will hear from Program Director Sandi Ferretti and gain further insight into the new program structure and application highlights, and what the return on investment (ROI) looks like for MHL graduates.
Please note that this event is listed in Eastern Time (ET).",Online only,https://events.brown.edu/event/307284-healthcare-leadership-virtual-information-s,,,0,0,0.0
10,Gallery Tour at The Bell,"2025-05-08 12:00:00",,EDT,List Art Building,"The Bell is excited to announce student-led tours that delve deeply into our current exhibition, Julien Creuzet: Attila cataract your source at the feet of the green peaks will end up in the great sea blue abyss we drowned in the tidal tears of the moon. The tours provide visitors with an opportunity to explore this immersive installation through open-ended discussion and close looking exercises that engage deeper with particular facets of the exhibition. Whether you are visiting us for the first time, or a repeat visitor to our space, these tours offer a new way to engage with The Bell and the artworks on view.
Tours will run approximately 45 minutes, with options for daytimes, evenings, and weekends between mid-April to late May. Follow this link for additional date and time options.
All tours are free and open to everyone. RSVPs are requested but not required; drop-in attendees will be welcome!
Tours will begin in the lobby outside of the gallery.",,https://events.brown.edu/event/310109-gallery-tours-at-the-bell,41.8265,-71.4054,0,0,0.0
11,DIAC Lunch Bunch: Justin Custado,"2025-05-08 12:00:00",,EDT,Lincoln Field Building,"The DEEPS Diversity, Inclusion, and Action Committee (DIAC) invites you to a special Lunch Bunch with Justin Custado in honor of Asian American and Pacific Islander Heritage Month! All are welcome! 
Examining Authorship Representation in Southeast Asian Climate Research: Challenges and Opportunities for Inclusivity
Southeast Asia (SEA) faces environmental and socioeconomic challenges that leaves the region vulnerable to the effects of climate change. However, the extent to which SEA researchers affiliated with SEA institutions have contributed to the region’s climate science has not been comprehensively quantified. This study examines authorship representation in SEA climate research using metadata from publications between 2014 and 2023. We quantify SEA representation by analyzing authorship demographics, institutional affiliations, publisher locations, funding acknowledgments, and citation distributions. Collectively, nine of the ten SEA nations participate considerably in the region’s climate literature, representing 30.76% of the total author pool and contributing to 64.33% of the total articles in the dataset. However, country-scale contributions are generally led by the United States, China, and Japan across all the authorship and publication metrics examined. Combined, these three countries alone comprise 37.45% of all authors, producing 56.79% of all articles examined. Additionally, 90.26% of the journals publishing SEA climate research are based in the United States and Europe. The stark contrast in country-scale participation between local and external researchers underscores issues of representation in the production and dissemination of climate-related knowledge in this region. By quantifying these trends, this study provides insights into some of the key challenges to authorship equity and opportunities to expand local research participation in SEA climate science.",,https://events.brown.edu/event/310559-diac-lunch-bunch-justin-custado,41.826,-71.4013,0,0,0.0
12,Perception & Action Seminar Series,"2025-05-08 12:00:00","2025-05-08 13:00:00",EDT,,"Speaker: Katja Doerschner (Giessen University)
Title: TBA
Abstract: TBA

https://brown.zoom.us/j/98784123246?pwd=4iaJQzuhFnNzCSNh92va8u0TxZ1zJ1.1
Meeting ID: 987 8412 3246
Passcode: 524190",Online only,https://events.brown.edu/event/304037-perception-action-seminar-series,,,0,0,0.0
13,Michael Brenes — The Rivalry Peril: How Great Power Competition Threatens Peace and Weakens Democracy,"2025-05-08 12:00:00","2025-05-08 13:00:00",EDT,"Watson Institute for International and Public Affairs, 111 Thayer Street","About the book:
How the U.S. policy of competition with China is detrimental to democracy, peace, and prosperity—and how a saner approach is possible

For close to a decade, the U.S. government has been preoccupied with the threat of China, fearing that the country will “eat our lunch,” in the words of Joe Biden. The United States has crafted its foreign and domestic policy to help constrain China’s military power and economic growth. Van Jackson and Michael Brenes argue that great-power competition with China is misguided and vastly underestimates the costs and risks that geopolitical rivalry poses to economic prosperity, the quality of democracy, and, ultimately, global stability.

This in-depth assessment of the trade-offs and pitfalls of protracted competition with China reveals how such a policy exacerbates inequality, leads to xenophobia, and increases the likelihood of violence around the world. In addition, it distracts from the priority of addressing such issues as climate change while at the same time undercutting democratic pluralism and sacrificing liberty in the name of prevailing against an enemy “other.” Jackson and Brenes provide an informed and urgent critique of current U.S. foreign policy and a road map toward a saner, more democratically accountable strategy of easing tension and achieving effective diplomacy.",,https://events.brown.edu/event/310739-michael-brenes-the-rivalry-peril-how-great-power,41.8243,-71.3999,0,0,0.0
14,Advance RI-CTR Clinical and Translational Research Seminar Series: Dr. Wafik S. El-Deiry,"2025-05-08 12:00:00","2025-05-08 13:00:00",EDT,,"The Advance RI-CTR Clinical and Translational Research Seminar Series showcases clinical and translational research from across Rhode Island. This series features outstanding science from expert investigators alternating with Advance RI-CTR Pilot Projects awardees sharing their early research. Seminars are held virtually on the second Thursday of each month.
Thursday, May 8th, 2025 (12:00pm-1:00pm)
Please join us as, Wafik S. El-Deiry, MD, PhD, FACP, Director Legorreta Cancer Center, Attending Physician at Brown University Health speaks on, “Translational Therapeutics targeting Cancer Cell Death”
Dr. El-Deiry will discuss his career path as a physician-scientist, practicing oncologist, entrepreneur, academic leader and will review some key discoveries made about cancer up to his ongoing present research. Dr. El-Deiry defined the genomic DNA-binding response element for tumor suppressor p53 (guardian of the genome) and discovered p21(WAF1), universal cell cycle inhibitor that explained DNA-damage cell division response. p21(WAF1) or CDKN1A was a seminal discovery about control of cell division published in 1993 that was the most highly cited original research in the journal Cell for >20 years. He discovered the innate immune TRAIL receptor DR5 and ONC201/TIC10 as cancer therapeutic. ONC201/TIC10 has clinical efficacy in H3K27M-mutated diffuse midline-gliomas and tumors without H3K27M including neuroendocrine tumors, prostate and endometrial cancers. Dr. El-Deiry continues to pursue rational experimental therapeutics, translational clinical trials and is trying to advance the field of Precision Oncology. His lab has also been interested in mitigating the toxicity of anti-cancer agents and in personalizing dose of cancer therapy based on host factors.
About Dr. El-Deiry
Dr. El-Deiry is an American Cancer Society Professor, the Director of the Legorreta Cancer Center at Brown University, the Associate Dean for Oncologic Sciences at the Warren Alpert Medical School and is Mencoff Family University Professor of Medical Science at Brown. He is a practicing physician-scientist and medical oncologist at Brown University Health who sees patients with colorectal cancer and is a translational-oncology investigator focused on cell death, cancer drug resistance, new cancer drugs, and precision oncology. Dr. El-Deiry is one of a handful of people in the world who discovered a cancer suppressor (TRAIL receptor DR5), discovered a drug that activates its cancer suppressive molecular and cellular pathway, ONC201/TIC10/ Dordaviprone, founded the company that licensed the drug (Oncoceutics, Inc. acquired by Chimerix, Inc. in 2021), and the drug is in process towards FDA approval for shrinking aggressive brain tumors. In 2023, Dr. El-Deiry was named as Top Doctor in Oncology in Pennsylvania and Rhode Island and was elected Chair of Worldwide Innovative Network (WIN)-Consortium in Personalized Cancer Medicine. He was elected as a Senior Member of the National Academy of Inventors in 2024.",Online only,https://events.brown.edu/event/310901-advance-ri-ctr-clinical-and-translational-research,,,0,0,0.0
15,Defusing Militarized Rivalry Between the U.S. and China - Day 1,"2025-05-08 12:00:00","2025-05-08 18:30:00",EDT,"Watson Institute for International and Public Affairs, 111 Thayer Street","The China Initiative at the Watson Institute hosts a two-day conference on Defusing Militarized Rivalry Between the U.S. and China, May 8-9.
Register here to attend.
See the full program here.
Statement of Purpose: During the last decade, U.S.-China relations have lurched dangerously into intensive militarized rivalry. This rivalry has the gravest possible implications for world peace, since the threat of war now looms over disputes in the South China Sea and also the ever-volatile Taiwan issue. As in the last Cold War, there is additionally the possibility that geopolitical rivalry will intensify disputes from Eastern Europe to the Arctic to the Middle East to Africa and throughout the Asia-Pacific. Moreover, this rivalry is already diverting resources and attention from other key issues, including global health and development, economic cooperation, and the climate crisis. This conference is intended as the first in a series and has five major goals: 1) to build a community of scholars dedicated to defusing U.S.-China rivalry; 2) to debate and refine arguments that favor mitigating geopolitical tensions between the superpowers; 3) to publish and disseminate the highest quality scholarship assessing the process of growing US-China militarized rivalry; 4) to develop concrete policy recommendations for curtailing military tensions among the two Asia-Pacific powers; and 5) to cultivate a new generation of experts that are capable of guiding US-China relations onto a more peaceful and collaborative path.",,https://events.brown.edu/event/310721-defusing-militarized-rivalry-between-the-us-and,41.8243,-71.3999,0,0,0.0
16,Protestant Midday Prayer,"2025-05-08 12:15:00","2025-05-08 12:45:00",EDT,Manning Chapel,"Join the Protestant community for a brief midday prayer each Thursday at 12:15 in Manning Chapel. The prayer service includes hymn singing, a scripture reading, and time for reflection. All are welcome!",,https://events.brown.edu/event/304539-protestant-midday-prayer,41.8275,-71.4028,0,0,0.0
17,Annenberg Half-Baked Seminar Series: Jesse Bruhn,"2025-05-08 13:00:00",,EDT,"164 Angell Street","Annenberg’s Half-Baked Seminar Series is an hour-long “works in progress” seminar centered on empirical research related to education and education policy. Seminars are typical academic presentations intended for a broad academic audience. Speakers come from a variety of disciplinary traditions and we seek to be inclusive to a broad, multi-disciplinary audience.
We invite faculty, postdocs, graduate students, and research staff from across the university who are interested in empirical research in education to participate.
Event speaker: Jesse Bruhn
Event Title: Path Dependence in the Labor Market: The Long-run Effect of Early Career Occupational Experience.",,https://events.brown.edu/event/303154-annenberg-half-baked-seminar-series-jesse-bruhn,,,0,0,0.0
18,Archaeological Drawing and Illustration Club,"2025-05-08 14:30:00","2025-05-08 16:00:00",EDT,Rhode Island Hall,"Learn to produce technical illustrations! Handle ancient objects close up!
Casual atmosphere, no experience or artistic confidence necessary! Drop in any time.
These weekly student-led sessions will lead to an exhibit in Rhode Island Hall at the end of the semester.",,https://events.brown.edu/event/305939-archaeological-drawing-and-illustration-clu,41.8255,-71.4039,0,0,0.0
19,HIAA Honors Presentations,"2025-05-08 15:00:00","2025-05-08 17:00:00",EDT,Rhode Island Hall,"Presenters:
Lia Chen
Kayleigh Danowski
Keelin Gaughan
Drew Lerner
William de Luca
Astrid McMahon
Elise Petit
Kiara Bose Roy
Colin Sutter
  All are welcome! Join us in supporting the hard work of our students. There will be opportunities to ask questions about student projects and learn more about how they conducted their research and chose their topics.
Light refreshments provided.",,https://events.brown.edu/event/304577-hiaa-honors-presentations,,,0,0,0.0
20,"NSGP Seminar Series Presents: Dr. Nicole Swann, University of Oregon","2025-05-08 16:00:00",,EDT,Sidney E. Frank Hall for Life Sciences,"Title: TBA
Host:  Hannah Doyle, Neuroscience Graduate Student",,https://events.brown.edu/event/309953-nsgp-seminar-series-presents-dr-nicole-swann,41.8289,-71.4025,0,0,0.0
